track_fid,track_seg_point_id,ele,time,X,Y,,,,,
0,0,4.083,11/02/2021 11:07,36.62053,29.12029,,,,,"[36.62053,29.12029],"
0,1,4.425,11/02/2021 11:08,36.620555,29.120177,,,,,"[36.620555,29.120177],"
0,2,4.817,11/02/2021 11:08,36.620559,29.12005,,,,,"[36.620559,29.12005],"
0,3,5.308,11/02/2021 11:08,36.62039,29.119908,,,,,"[36.62039,29.119908],"
0,4,5.784,11/02/2021 11:09,36.62003,29.11977,,,,,"[36.62003,29.11977],"
0,5,6.483,11/02/2021 11:09,36.62,29.11966,,,,,"[36.62,29.11966],"
0,6,7.133,11/02/2021 11:09,36.62002,29.11957,,,,,"[36.62002,29.11957],"
0,7,7.641,11/02/2021 11:10,36.62005,29.1195,,,,,"[36.62005,29.1195],"
0,8,8.557,11/02/2021 11:10,36.62008,29.11931,,,,,"[36.62008,29.11931],"
0,9,9.237,11/02/2021 11:10,36.62008,29.11914,,,,,"[36.62008,29.11914],"
0,10,10.364,11/02/2021 11:11,36.6199,29.11901,,,,,"[36.6199,29.11901],"
0,11,10.666,11/02/2021 11:11,36.6198,29.11897,,,,,"[36.6198,29.11897],"
0,12,11.894,11/02/2021 11:11,36.61976,29.11879,,,,,"[36.61976,29.11879],"
0,13,12.757,11/02/2021 11:12,36.61974,29.11867,,,,,"[36.61974,29.11867],"
0,14,13.322,11/02/2021 11:12,36.61971,29.11855,,,,,"[36.61971,29.11855],"
0,15,13.908,11/02/2021 11:12,36.61967,29.11841,,,,,"[36.61967,29.11841],"
0,16,14.345,11/02/2021 11:13,36.61964,29.11834,,,,,"[36.61964,29.11834],"
0,17,16.644,11/02/2021 11:13,36.619379,29.118415,,,,,"[36.619379,29.118415],"
0,18,19.144,11/02/2021 11:13,36.619292,29.118437,,,,,"[36.619292,29.118437],"
0,19,20.932,11/02/2021 11:14,36.619219,29.118382,,,,,"[36.619219,29.118382],"
0,20,24.588,11/02/2021 11:14,36.619123,29.118347,,,,,"[36.619123,29.118347],"
0,21,29.178,11/02/2021 11:14,36.61903,29.1183,,,,,"[36.61903,29.1183],"
0,22,30.715,11/02/2021 11:15,36.61899,29.11822,,,,,"[36.61899,29.11822],"
0,23,32.467,11/02/2021 11:15,36.61895,29.11815,,,,,"[36.61895,29.11815],"
0,24,32.192,11/02/2021 11:15,36.61891,29.11799,,,,,"[36.61891,29.11799],"
0,25,34.873,11/02/2021 11:16,36.61885,29.11795,,,,,"[36.61885,29.11795],"
0,26,38.62,11/02/2021 11:16,36.61878,29.11792,,,,,"[36.61878,29.11792],"
0,27,38.208,11/02/2021 11:16,36.61874,29.11786,,,,,"[36.61874,29.11786],"
0,28,36.175,11/02/2021 11:17,36.61871,29.11779,,,,,"[36.61871,29.11779],"
0,29,36.174,11/02/2021 11:17,36.61866,29.11771,,,,,"[36.61866,29.11771],"
0,30,35.224,11/02/2021 11:17,36.61863,29.11763,,,,,"[36.61863,29.11763],"
0,31,34.452,11/02/2021 11:18,36.61862,29.11759,,,,,"[36.61862,29.11759],"
0,32,32.748,11/02/2021 11:18,36.61859,29.11744,,,,,"[36.61859,29.11744],"
0,33,34.548,11/02/2021 11:18,36.61851,29.11732,,,,,"[36.61851,29.11732],"
0,34,35.785,11/02/2021 11:19,36.61845,29.11728,,,,,"[36.61845,29.11728],"
0,35,35.387,11/02/2021 11:19,36.6184,29.11722,,,,,"[36.6184,29.11722],"
0,36,35.164,11/02/2021 11:19,36.61839,29.1171,,,,,"[36.61839,29.1171],"
0,37,35.606,11/02/2021 11:20,36.61836,29.11702,,,,,"[36.61836,29.11702],"
0,38,37.216,11/02/2021 11:20,36.61832,29.11681,,,,,"[36.61832,29.11681],"
0,39,37.008,11/02/2021 11:20,36.61833,29.11672,,,,,"[36.61833,29.11672],"
0,40,38.852,11/02/2021 11:21,36.61833,29.11655,,,,,"[36.61833,29.11655],"
0,41,39.641,11/02/2021 11:21,36.61834,29.11647,,,,,"[36.61834,29.11647],"
0,42,39.181,11/02/2021 11:21,36.6184,29.11637,,,,,"[36.6184,29.11637],"
0,43,37.949,11/02/2021 11:22,36.61845,29.11624,,,,,"[36.61845,29.11624],"
0,44,35.315,11/02/2021 11:22,36.61854,29.11604,,,,,"[36.61854,29.11604],"
0,45,34.095,11/02/2021 11:22,36.61857,29.11591,,,,,"[36.61857,29.11591],"
0,46,33.252,11/02/2021 11:23,36.6186,29.11584,,,,,"[36.6186,29.11584],"
